Data_entry,Post_Id,Engagement,Impressions,Reach,Saved,Likes
9/9/2020,Post 1,190,797,553,1,182
9/10/2020,Post 1,190,799,555,1,182
9/11/2020,Post 1,190,812,557,1,182
9/12/2020,Post 1,190,814,557,1,182
9/13/2020,Post 1,190,819,559,1,182
9/14/2020,Post 1,190,825,565,1,182
9/15/2020,Post 1,190,825,565,1,182
9/16/2020,Post 1,190,830,569,1,182
9/17/2020,Post 1,190,836,572,1,182
9/18/2020,Post 1,190,840,575,1,0
9/11/2020,Post 2,106,805,607,0,102
9/12/2020,Post 2,111,880,656,0,108
9/13/2020,Post 2,112,892,664,0,108
9/14/2020,Post 2,112,900,669,0,108
9/15/2020,Post 2,112,901,669,0,108
9/16/2020,Post 2,112,905,674,0,108
9/17/2020,Post 2,112,913,678,0,108
9/18/2020,Post 2,190,840,575,1,182
9/19/2020,Post 2,190,840,575,1,0
9/20/2020,Post 2,190,840,575,1,0
9/14/2020,Post 3,98,531,453,1,0
9/15/2020,Post 3,110,626,524,1,0
9/16/2020,Post 3,113,652,543,1,0
9/17/2020,Post 3,113,663,547,1,0
9/18/2020,Post 3,113,665,548,1,0
9/19/2020,Post 3,114,668,548,1,0
9/20/2020,Post 3,114,668,548,1,0
9/21/2020,Post 3,114,670,548,1,0
9/22/2020,Post 3,114,672,548,1,0
9/23/2020,Post 3,114,674,548,1,0
9/17/2020,Post 4,295,690,573,1,0
9/18/2020,Post 4,302,726,597,1,0
9/19/2020,Post 4,307,738,604,1,0
9/20/2020,Post 4,307,743,609,1,0
9/21/2020,Post 4,307,744,609,1,0
9/22/2020,Post 4,307,747,611,1,0
9/23/2020,Post 4,307,749,611,1,0
9/24/2020,Post 4,308,752,612,1,0
9/25/2020,Post 4,308,752,612,1,0
9/26/2020,Post 4,308,761,615,1,0
9/19/2020,Post 5,138,634,538,0,0
9/20/2020,Post 5,143,683,572,0,0
9/21/2020,Post 5,144,688,578,0,0
9/22/2020,Post 5,144,692,578,0,0
9/23/2020,Post 5,144,693,580,0,0
9/24/2020,Post 5,144,697,580,0,0
9/25/2020,Post 5,144,701,580,0,0
9/26/2020,Post 5,145,708,587,0,0
9/27/2020,Post 5,145,708,587,0,0
9/28/2020,Post 5,146,712,591,0,0
9/22/2020,Post 6,71,572,517,1,0
9/23/2020,Post 6,81,757,676,2,0
9/24/2020,Post 6,83,780,695,2,0
9/25/2020,Post 6,84,792,702,2,0
9/26/2020,Post 6,85,799,704,2,0
9/27/2020,Post 6,85,800,706,2,0
9/28/2020,Post 6,85,802,709,2,0
9/29/2020,Post 6,86,803,710,2,0
9/30/2020,Post 6,86,807,713,2,0
10/1/2020,Post 6,87,809,716,2,0
9/25/2020,Post 7,95,788,687,6,0
9/26/2020,Post 7,99,815,709,6,0
9/27/2020,Post 7,100,827,720,6,0
9/28/2020,Post 7,100,830,721,6,0
9/29/2020,Post 7,101,835,724,6,0
9/30/2020,Post 7,102,838,727,6,0
10/1/2020,Post 7,103,843,733,6,0
10/2/2020,Post 7,103,846,734,6,0
10/3/2020,Post 7,104,851,738,6,0
10/4/2020,Post 7,104,851,738,6,0
9/26/2020,Post 8,198,720,569,1,0
9/27/2020,Post 8,209,802,634,1,0
9/28/2020,Post 8,210,830,651,1,0
9/29/2020,Post 8,211,837,654,1,0
9/30/2020,Post 8,211,848,658,1,0
10/1/2020,Post 8,212,852,660,0,0
10/2/2020,Post 8,212,857,664,0,0
10/3/2020,Post 8,212,864,667,0,0
10/4/2020,Post 8,212,867,668,0,0
10/5/2020,Post 8,212,867,668,0,0
9/27/2020,Post 9,117,415,344,1,0
9/28/2020,Post 9,169,728,543,1,0
9/29/2020,Post 9,174,759,565,1,0
9/30/2020,Post 9,175,786,588,1,0
10/1/2020,Post 9,176,796,595,0,0
10/2/2020,Post 9,178,803,603,0,0
10/3/2020,Post 9,178,811,608,0,0
10/4/2020,Post 9,178,813,609,0,0
10/5/2020,Post 9,178,813,609,0,0
10/6/2020,Post 9,180,909,695,0,0
9/30/2020,Post 10,94,476,411,0,0
10/1/2020,Post 10,101,524,440,0,0
10/2/2020,Post 10,104,538,451,0,0
10/3/2020,Post 10,105,549,457,0,0
10/4/2020,Post 10,105,555,460,0,0
10/5/2020,Post 10,108,699,584,0,0
10/6/2020,Post 10,108,699,584,0,0
10/7/2020,Post 10,0,0,0,0,0
10/8/2020,Post 10,0,0,0,0,0
10/9/2020,Post 10,0,0,0,0,0
10/4/2020,Post 11,231,517,438,2,0
10/5/2020,Post 11,268,630,525,1,0
10/6/2020,Post 11,274,810,678,1,0
10/7/2020,Post 11,275,838,695,1,0
10/6/2020,Post 12,148,306,283,0,0
10/7/2020,Post 12,303,825,591,1,0
